"Cells"	"Patients"
"C4_P5_M66_L001"	"P12"
"C5_P2_M66_L001"	"P12"
"C6_P4_M66_L001"	"P12"
"C7_P2_M66_L001"	"P12"
"C8_P1_M66_L001"	"P12"
"C8_P5_M66_L001"	"P12"
"C9_P1_M66_L001"	"P12"
"C9_P2_M66_L001"	"P12"
"D10_P1_M66_L001"	"P12"
"D10_P2_M66_L001"	"P12"
"D10_P4_M66_L001"	"P12"
"D11_P1_M66_L001"	"P12"
"D11_P4_M66_L001"	"P12"
"D11_P5_M66_L001"	"P12"
"D12_P1_M66_L001"	"P12"
"D12_P2_M66_L001"	"P12"
"D12_P5_M66_L001"	"P12"
"D1_P2_M66_L001"	"P12"
"D1_P4_M66_L001"	"P12"
"D1_P5_M66_L001"	"P12"
"D2_P1_M66_L001"	"P12"
"D2_P5_M66_L001"	"P12"
"D3_P2_M66_L001"	"P12"
"D3_P4_M66_L001"	"P12"
"D4_P1_M66_L001"	"P12"
"D4_P4_M66_L001"	"P12"
"D4_P5_M66_L001"	"P12"
"D5_P4_M66_L001"	"P12"
"D5_P5_M66_L001"	"P12"
"D6_P1_M66_L001"	"P12"
"D6_P4_M66_L001"	"P12"
"D6_P5_M66_L001"	"P12"
"D7_P1_M66_L001"	"P12"
"D8_P1_M66_L001"	"P12"
"D8_P4_M66_L001"	"P12"
"D9_P1_M66_L001"	"P12"
"D9_P2_M66_L001"	"P12"
"D9_P4_M66_L001"	"P12"
"E10_P1_M66_L001"	"P12"
"E10_P2_M66_L001"	"P12"
"E10_P4_M66_L001"	"P12"
"E11_P2_M66_L001"	"P12"
"E12_P1_M66_L001"	"P12"
"E12_P5_M66_L001"	"P12"
"E1_P1_M66_L001"	"P12"
"E1_P4_M66_L001"	"P12"
"E1_P5_M66_L001"	"P12"
"E2_P1_M66_L001"	"P12"
"E3_P1_M66_L001"	"P12"
"E3_P2_M66_L001"	"P12"
"E4_P1_M66_L001"	"P12"
"E4_P2_M66_L001"	"P12"
"E4_P5_M66_L001"	"P12"
"E5_P2_M66_L001"	"P12"
"E5_P4_M66_L001"	"P12"
"E5_P5_M66_L001"	"P12"
"E6_P1_M66_L001"	"P12"
"E6_P2_M66_L001"	"P12"
"E7_P2_M66_L001"	"P12"
"E7_P4_M66_L001"	"P12"
"E8_P1_M66_L001"	"P12"
"E8_P2_M66_L001"	"P12"
"E8_P4_M66_L001"	"P12"
"E9_P2_M66_L001"	"P12"
"E9_P4_M66_L001"	"P12"
"F10_P4_M66_L001"	"P12"
"F10_P5_M66_L001"	"P12"
"F11_P1_M66_L001"	"P12"
