"Cells"	"Patients"
"C5_P9_M36_L001"	"P3"
"C6_P8_M36_L001"	"P3"
"C6_P9_M36_L001"	"P3"
"C7_P9_M36_L001"	"P3"
"C8_P6_M36_L001"	"P3"
"C8_P7_M36_L001"	"P3"
"C8_P9_M36_L001"	"P3"
"C9_P6_M36_L001"	"P3"
"C9_P7_M36_L001"	"P3"
"C9_P9_M36_L001"	"P3"
"D10_P6_M36_L001"	"P3"
"D10_P7_M36_L001"	"P3"
"D10_P8_M36_L001"	"P3"
"D10_P9_M36_L001"	"P3"
"D11_P6_M36_L001"	"P3"
"D11_P9_M36_L001"	"P3"
"D12_P6_M36_L001"	"P3"
"D12_P9_M36_L001"	"P3"
"D1_P6_M36_L001"	"P3"
"D1_P7_M36_L001"	"P3"
"D1_P8_M36_L001"	"P3"
"D2_P7_M36_L001"	"P3"
"D2_P8_M36_L001"	"P3"
"D2_P9_M36_L001"	"P3"
"D3_P6_M36_L001"	"P3"
"D3_P7_M36_L001"	"P3"
"D3_P8_M36_L001"	"P3"
"D3_P9_M36_L001"	"P3"
"D4_P6_M36_L001"	"P3"
"D5_P6_M36_L001"	"P3"
"D5_P7_M36_L001"	"P3"
"D5_P8_M36_L001"	"P3"
"D5_P9_M36_L001"	"P3"
"D6_P7_M36_L001"	"P3"
"D6_P8_M36_L001"	"P3"
"D6_P9_M36_L001"	"P3"
"D7_P6_M36_L001"	"P3"
"D7_P7_M36_L001"	"P3"
"D7_P8_M36_L001"	"P3"
"D7_P9_M36_L001"	"P3"
"D9_P7_M36_L001"	"P3"
"D9_P8_M36_L001"	"P3"
"D9_P9_M36_L001"	"P3"
"E10_P6_M36_L001"	"P3"
"E10_P7_M36_L001"	"P3"
"E10_P9_M36_L001"	"P3"
"E11_P6_M36_L001"	"P3"
"E11_P9_M36_L001"	"P3"
"E12_P9_M36_L001"	"P3"
"E1_P7_M36_L001"	"P3"
"E1_P8_M36_L001"	"P3"
"E1_P9_M36_L001"	"P3"
"E2_P8_M36_L001"	"P3"
"E3_P6_M36_L001"	"P3"
"E3_P8_M36_L001"	"P3"
"E4_P6_M36_L001"	"P3"
"E4_P7_M36_L001"	"P3"
"E4_P8_M36_L001"	"P3"
"E5_P8_M36_L001"	"P3"
"E6_P9_M36_L001"	"P3"
"E7_P7_M36_L001"	"P3"
"E7_P9_M36_L001"	"P3"
"E8_P6_M36_L001"	"P3"
"E8_P7_M36_L001"	"P3"
"E8_P8_M36_L001"	"P3"
"E8_P9_M36_L001"	"P3"
"E9_P6_M36_L001"	"P3"
"E9_P7_M36_L001"	"P3"
"E9_P8_M36_L001"	"P3"
"E9_P9_M36_L001"	"P3"
"F10_P6_M36_L001"	"P3"
"F10_P7_M36_L001"	"P3"
"F11_P6_M36_L001"	"P3"
"F12_P6_M36_L001"	"P3"
"F12_P7_M36_L001"	"P3"
"F12_P8_M36_L001"	"P3"
"F12_P9_M36_L001"	"P3"
"F1_P7_M36_L001"	"P3"
"F1_P8_M36_L001"	"P3"
"F2_P7_M36_L001"	"P3"
"F2_P9_M36_L001"	"P3"
"F3_P6_M36_L001"	"P3"
"F3_P7_M36_L001"	"P3"
"F3_P9_M36_L001"	"P3"
"F4_P7_M36_L001"	"P3"
"F5_P8_M36_L001"	"P3"
"F6_P6_M36_L001"	"P3"
"F6_P7_M36_L001"	"P3"
"F6_P8_M36_L001"	"P3"
"F6_P9_M36_L001"	"P3"
"F7_P7_M36_L001"	"P3"
"F7_P8_M36_L001"	"P3"
"F7_P9_M36_L001"	"P3"
"F8_P7_M36_L001"	"P3"
"F9_P7_M36_L001"	"P3"
"F9_P8_M36_L001"	"P3"
"G10_P6_M36_L001"	"P3"
"G10_P9_M36_L001"	"P3"
"G11_P6_M36_L001"	"P3"
"G11_P8_M36_L001"	"P3"
"G11_P9_M36_L001"	"P3"
"G12_P6_M36_L001"	"P3"
"G12_P8_M36_L001"	"P3"
"G12_P9_M36_L001"	"P3"
"G1_P6_M36_L001"	"P3"
"G1_P7_M36_L001"	"P3"
"G1_P8_M36_L001"	"P3"
"G2_P6_M36_L001"	"P3"
"G2_P7_M36_L001"	"P3"
"G2_P9_M36_L001"	"P3"
"G3_P6_M36_L001"	"P3"
"G3_P7_M36_L001"	"P3"
"G4_P6_M36_L001"	"P3"
"G4_P7_M36_L001"	"P3"
"G5_P7_M36_L001"	"P3"
"G5_P9_M36_L001"	"P3"
"G6_P7_M36_L001"	"P3"
"G6_P9_M36_L001"	"P3"
"G7_P9_M36_L001"	"P3"
"G8_P7_M36_L001"	"P3"
"G8_P8_M36_L001"	"P3"
"G8_P9_M36_L001"	"P3"
"G9_P6_M36_L001"	"P3"
"G9_P7_M36_L001"	"P3"
"G9_P8_M36_L001"	"P3"
"H10_P7_M36_L001"	"P3"
"H10_P8_M36_L001"	"P3"
"H10_P9_M36_L001"	"P3"
"H11_P7_M36_L001"	"P3"
"H11_P8_M36_L001"	"P3"
