Cells	Patients
B6_P8_M63.B1	P7
B7_P7_M63.B1	P7
B7_P9_M63.B1	P7
B8_P8_M63.B1	P7
B9_P7_M63.B1	P7
C10_P7_M63.B1	P7
C10_P8_M63.B1	P7
C11_P6_M63.B1	P7
C11_P7_M63.B1	P7
C11_P9_M63.B1	P7
C12_P7_M63.B1	P7
C12_P9_M63.B1	P7
C2_P8_M63.B1	P7
C3_P9_M63.B1	P7
C5_P6_M63.B1	P7
C5_P7_M63.B1	P7
C5_P9_M63.B1	P7
C6_P6_M63.B1	P7
C6_P7_M63.B1	P7
C6_P8_M63.B1	P7
C7_P8_M63.B1	P7
C8_P8_M63.B1	P7
C9_P6_M63.B1	P7
C9_P9_M63.B1	P7
D10_P9_M63.B1	P7
D11_P6_M63.B1	P7
D11_P9_M63.B1	P7
D12_P6_M63.B1	P7
D12_P8_M63.B1	P7
D12_P9_M63.B1	P7
D1_P8_M63.B1	P7
D1_P9_M63.B1	P7
D2_P6_M63.B1	P7
D3_P6_M63.B1	P7
D3_P7_M63.B1	P7
D3_P9_M63.B1	P7
D4_P7_M63.B1	P7
D5_P9_M63.B1	P7
D6_P6_M63.B1	P7
D6_P8_M63.B1	P7
D6_P9_M63.B1	P7
D7_P6_M63.B1	P7
D8_P7_M63.B1	P7
D8_P9_M63.B1	P7
D9_P6_M63.B1	P7
E10_P6_M63.B1	P7
E10_P7_M63.B1	P7
E10_P8_M63.B1	P7
E10_P9_M63.B1	P7
E12_P6_M63.B1	P7
E12_P8_M63.B1	P7
E1_P7_M63.B1	P7
E1_P8_M63.B1	P7
E2_P6_M63.B1	P7
E2_P7_M63.B1	P7
E4_P6_M63.B1	P7
E4_P7_M63.B1	P7
E5_P8_M63.B1	P7
E5_P9_M63.B1	P7
E6_P7_M63.B1	P7
E6_P9_M63.B1	P7
E7_P6_M63.B1	P7
E7_P8_M63.B1	P7
E8_P7_M63.B1	P7
E9_P7_M63.B1	P7
F10_P8_M63.B1	P7
F10_P9_M63.B1	P7
F11_P8_M63.B1	P7
F11_P9_M63.B1	P7
F12_P6_M63.B1	P7
F12_P9_M63.B1	P7
F1_P6_M63.B1	P7
F1_P8_M63.B1	P7
F2_P7_M63.B1	P7
F2_P8_M63.B1	P7
F3_P9_M63.B1	P7
F4_P7_M63.B1	P7
F4_P9_M63.B1	P7
F5_P6_M63.B1	P7
F5_P7_M63.B1	P7
F6_P6_M63.B1	P7
F7_P6_M63.B1	P7
F7_P9_M63.B1	P7
F8_P6_M63.B1	P7
F9_P8_M63.B1	P7
G10_P9_M63.B1	P7
G11_P9_M63.B1	P7
G12_P6_M63.B1	P7
G12_P9_M63.B1	P7
G1_P8_M63.B1	P7
G4_P6_M63.B1	P7
G5_P6_M63.B1	P7
G8_P9_M63.B1	P7
G9_P6_M63.B1	P7
H10_P6_M63.B1	P7
H10_P7_M63.B1	P7
H10_P9_M63.B1	P7
H11_P6_M63.B1	P7
H11_P7_M63.B1	P7
H12_P6_M63.B1	P7
H1_P7_M63.B1	P7
H2_P6_M63.B1	P7
H2_P8_M63.B1	P7
H3_P9_M63.B1	P7
H4_P9_M63.B1	P7
H5_P6_M63.B1	P7
H6_P6_M63.B1	P7
H6_P9_M63.B1	P7
H7_P6_M63.B1	P7
H7_P7_M63.B1	P7
H7_P9_M63.B1	P7
H8_P6_M63.B1	P7
H8_P7_M63.B1	P7
H8_P9_M63.B1	P7
A10_P10_MMD5_L001	P8
A11_P11_MMD5_L001	P8
A2_P11_MMD5_L001	P8
A3_P11_MMD5_L001	P8
A4_P10_MMD5_L001	P8
A4_P9_MMD5_L001	P8
A5_P10_MMD5_L001	P8
A5_P11_MMD5_L001	P8
A6_P9_MMD5_L001	P8
A7_P10_MMD5_L001	P8
A7_P11_MMD5_L001	P8
A7_P9_MMD5_L001	P8
A8_P3_MMD5_L001	P8
A9_P11_MMD5_L001	P8
A9_P9_MMD5_L001	P8
B10_P11_MMD5_L001	P8
B10_P9_MMD5_L001	P8
B11_P3_MMD5_L001	P8
B12_P11_MMD5_L001	P8
B12_P9_MMD5_L001	P8
B1_P10_MMD5_L001	P8
B2_P9_MMD5_L001	P8
B3_P10_MMD5_L001	P8
B3_P11_MMD5_L001	P8
B3_P9_MMD5_L001	P8
B4_P10_MMD5_L001	P8
B4_P3_MMD5_L001	P8
B6_P10_MMD5_L001	P8
B6_P11_MMD5_L001	P8
B6_P9_MMD5_L001	P8
B8_P10_MMD5_L001	P8
B9_P3_MMD5_L001	P8
C10_P9_MMD5_L001	P8
C11_P10_MMD5_L001	P8
C11_P11_MMD5_L001	P8
C1_P10_MMD5_L001	P8
C2_P10_MMD5_L001	P8
C3_P10_MMD5_L001	P8
C4_P11_MMD5_L001	P8
C5_P11_MMD5_L001	P8
C5_P9_MMD5_L001	P8
C6_P3_MMD5_L001	P8
C7_P11_MMD5_L001	P8
C7_P3_MMD5_L001	P8
C7_P9_MMD5_L001	P8
C8_P10_MMD5_L001	P8
C8_P3_MMD5_L001	P8
D10_P10_MMD5_L001	P8
D10_P11_MMD5_L001	P8
D10_P9_MMD5_L001	P8
D11_P11_MMD5_L001	P8
D12_P11_MMD5_L001	P8
D2_P3_MMD5_L001	P8
D4_P3_MMD5_L001	P8
D5_P9_MMD5_L001	P8
D6_P3_MMD5_L001	P8
D6_P9_MMD5_L001	P8
D9_P10_MMD5_L001	P8
E10_P10_MMD5_L001	P8
E11_P9_MMD5_L001	P8
E12_P10_MMD5_L001	P8
E12_P9_MMD5_L001	P8
E1_P3_MMD5_L001	P8
E1_P9_MMD5_L001	P8
E3_P11_MMD5_L001	P8
E4_P9_MMD5_L001	P8
E5_P9_MMD5_L001	P8
E6_P9_MMD5_L001	P8
E7_P10_MMD5_L001	P8
E7_P11_MMD5_L001	P8
E7_P3_MMD5_L001	P8
E9_P11_MMD5_L001	P8
E9_P3_MMD5_L001	P8
F10_P11_MMD5_L001	P8
F10_P9_MMD5_L001	P8
F11_P10_MMD5_L001	P8
F12_P10_MMD5_L001	P8
F12_P11_MMD5_L001	P8
F12_P3_MMD5_L001	P8
F1_P10_MMD5_L001	P8
F1_P11_MMD5_L001	P8
F2_P9_MMD5_L001	P8
F3_P10_MMD5_L001	P8
F3_P11_MMD5_L001	P8
F4_P9_MMD5_L001	P8
F5_P10_MMD5_L001	P8
F5_P9_MMD5_L001	P8
F6_P9_MMD5_L001	P8
F9_P9_MMD5_L001	P8
G11_P10_MMD5_L001	P8
G11_P3_MMD5_L001	P8
G11_P9_MMD5_L001	P8
G12_P9_MMD5_L001	P8
G1_P10_MMD5_L001	P8
G1_P11_MMD5_L001	P8
G1_P9_MMD5_L001	P8
G2_P3_MMD5_L001	P8
G3_P10_MMD5_L001	P8
G3_P11_MMD5_L001	P8
G3_P3_MMD5_L001	P8
G4_P10_MMD5_L001	P8
G4_P11_MMD5_L001	P8
G4_P9_MMD5_L001	P8
G6_P11_MMD5_L001	P8
G6_P9_MMD5_L001	P8
G7_P11_MMD5_L001	P8
G9_P3_MMD5_L001	P8
H10_P10_MMD5_L001	P8
H10_P9_MMD5_L001	P8
H11_P10_MMD5_L001	P8
H11_P11_MMD5_L001	P8
H11_P9_MMD5_L001	P8
H12_P10_MMD5_L001	P8
H12_P11_MMD5_L001	P8
H1_P11_MMD5_L001	P8
H3_P10_MMD5_L001	P8
H3_P9_MMD5_L001	P8
H4_P3_MMD5_L001	P8
H5_P11_MMD5_L001	P8
H5_P9_MMD5_L001	P8
H6_P9_MMD5_L001	P8
H7_P11_MMD5_L001	P8
H7_P9_MMD5_L001	P8
H8_P11_MMD5_L001	P8
H8_P3_MMD5_L001	P8
H8_P9_MMD5_L001	P8
H9_P11_MMD5_L001	P8
H9_P3_MMD5_L001	P8
H9_P9_MMD5_L001	P8
A10_P5_MMD9_L001	P17
A11_P2_MMD9_L001	P17
A11_P3_MMD9_L001	P17
A11_P5_MMD9_L001	P17
A12_P2_MMD9_L001	P17
A12_P3_MMD9_L001	P17
A12_P5_MMD9_L001	P17
A2_P3_MMD9_L001	P17
A2_P5_MMD9_L001	P17
A4_P1_MMD9_L001	P17
A4_P3_MMD9_L001	P17
A5_P1_MMD9_L001	P17
A5_P2_MMD9_L001	P17
A6_P2_MMD9_L001	P17
A6_P3_MMD9_L001	P17
A7_P2_MMD9_L001	P17
A7_P5_MMD9_L001	P17
A8_P1_MMD9_L001	P17
A8_P2_MMD9_L001	P17
A9_P5_MMD9_L001	P17
B10_P2_MMD9_L001	P17
B10_P3_MMD9_L001	P17
B10_P5_MMD9_L001	P17
B11_P1_MMD9_L001	P17
B11_P5_MMD9_L001	P17
B12_P2_MMD9_L001	P17
B12_P3_MMD9_L001	P17
B1_P1_MMD9_L001	P17
B1_P3_MMD9_L001	P17
B1_P5_MMD9_L001	P17
B2_P1_MMD9_L001	P17
B2_P5_MMD9_L001	P17
B3_P2_MMD9_L001	P17
B3_P3_MMD9_L001	P17
B4_P1_MMD9_L001	P17
B4_P2_MMD9_L001	P17
B5_P3_MMD9_L001	P17
B6_P1_MMD9_L001	P17
B6_P5_MMD9_L001	P17
B7_P2_MMD9_L001	P17
B7_P5_MMD9_L001	P17
B8_P1_MMD9_L001	P17
B8_P2_MMD9_L001	P17
B9_P2_MMD9_L001	P17
B9_P3_MMD9_L001	P17
C10_P1_MMD9_L001	P17
C10_P2_MMD9_L001	P17
C10_P3_MMD9_L001	P17
C11_P5_MMD9_L001	P17
C12_P1_MMD9_L001	P17
C12_P2_MMD9_L001	P17
C1_P1_MMD9_L001	P17
C1_P3_MMD9_L001	P17
C2_P2_MMD9_L001	P17
C2_P5_MMD9_L001	P17
C3_P2_MMD9_L001	P17
C4_P1_MMD9_L001	P17
C4_P2_MMD9_L001	P17
C4_P3_MMD9_L001	P17
C4_P5_MMD9_L001	P17
C5_P1_MMD9_L001	P17
C5_P2_MMD9_L001	P17
C5_P5_MMD9_L001	P17
C6_P1_MMD9_L001	P17
C6_P2_MMD9_L001	P17
C7_P1_MMD9_L001	P17
C7_P2_MMD9_L001	P17
